"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Laguna 1/, 3/, a/, b/, c/";23688;29892;38492;3.9;9.5;7.9;19.7;14.0;14.1;0.8;1.3;1.1;2;7;6;5;12;10
"....Quezon 1/, 2/, a/, c/";22805;27151;29058;13.5;21.6;10.2;13.8;9.5;13.5;1.9;2.1;1.4;10;18;8;17;26;13
"....Rizal 3/, a/, b/, c/";28647;32217;39055;4.5;6.9;8.5;17.7;17.6;13.7;0.8;1.2;1.2;3;5;6;6;9;11
"..MIMAROPA Region 1/, 3/";23315;26321;30472;15.1;20.8;23.0;6.2;4.9;6.2;0.9;1.0;1.4;13;19;20;17;23;26
"....Marinduque 1/, 2/, a/, c/";24054;26959;30493;14.7;22.1;13.2;10.0;7.9;10.9;1.5;1.7;1.4;12;19;10;18;26;16
"....Occidental Mindoro 1/, a/, c/";21341;26661;29253;21.7;30.3;28.1;12.2;7.7;12.5;2.6;2.3;3.5;17;26;21;27;35;35
"....Oriental Mindoro 1/, 3/, a/, b/, c/";24470;26265;31191;10.8;18.1;20.6;17.8;13.6;11.5;1.9;2.5;2.4;7;13;16;15;23;25
"....Palawan 2/, 3/, a/, b/, c/";23425;24127;29615;12.1;13.8;22.4;12.2;10.7;12.6;1.5;1.5;2.8;9;11;17;15;17;28
"....Romblon 1/, 2/";24087;28749;33379;28.3;40.1;32.3;8.3;5.4;7.0;2.3;2.1;2.3;24;36;28;33;44;37
"..Region V (Bicol Region)";24461;27675;33575;27.0;29.3;27.5;3.7;3.6;3.4;1.0;1.1;0.9;25;27;26;29;31;29
"....Albay";24902;27346;35164;21.2;20.4;24.7;9.7;10.0;6.9;2.1;2.0;1.7;17;16;21;25;24;28
"....Camarines Norte 1/, 3/";25051;27571;33747;30.5;22.2;24.9;5.9;8.3;6.9;1.8;1.8;1.7;27;19;22;34;26;28
"....Camarines Sur 1/, 2/";24271;28651;33911;28.4;38.7;29.4;7.9;6.1;7.4;2.3;2.4;2.2;24;34;25;33;43;34
"....Catanduanes 2/, 3/";24380;28014;31832;20.3;23.5;30.6;8.7;8.4;7.6;1.8;2.0;2.3;17;20;26;24;27;35
"....Masbate 2/, 3/";22911;25545;28627;33.0;27.7;19.2;6.8;7.9;9.3;2.3;2.2;1.8;29;23;16;37;32;23
"....Sorsogon 2/, 3/";26069;27133;34371;26.1;30.0;37.9;7.2;7.4;5.9;1.9;2.2;2.2;22;26;34;30;34;42
"..Region VI (Western Visayas) r2, 1/, 2/";25232;27339;33122;14.2;17.2;13.7;6.3;6.4;6.1;0.9;1.1;0.8;13;15;12;16;19;15
"....Aklan 1/, 2/, 3/, a/, b/, c/";23745;26837;30138;12.1;20.2;4.6;13.0;11.7;17.0;1.6;2.4;0.8;9;16;3;15;25;6
"....Antique a/, c/";24023;26633;32905;19.1;23.7;18.9;10.1;9.3;11.3;1.9;2.2;2.1;15;19;15;23;28;23
