"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence Among Families (%) 2018";"Poverty Incidence Among Families (%) 2021";"Poverty Incidence Among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Oriental Mindoro";24470;26265;31191;7.3;12.8;14.1;19.0;14.7;12.3;1.4;1.9;1.7;5;9;11;10;17;18
"....Palawan";23425;24127;29615;8.2;9.4;15.8;12.7;10.9;13.1;1.0;1.0;2.1;6;7;12;10;11;20
"....Romblon";24087;28749;33379;19.7;31.0;23.0;8.8;5.8;7.4;1.7;1.8;1.7;16;28;20;23;35;26
"..Region V (Bicol Region)";24461;27675;33575;20.0;21.9;20.3;4.0;4.0;3.7;0.8;0.9;0.8;18;20;19;22;24;22
"....Albay";24902;27346;35164;15.0;15.4;18.1;9.9;10.1;7.2;1.5;1.6;1.3;12;12;16;18;19;21
"....Camarines Norte";25051;27571;33747;22.4;16.6;17.7;7.1;9.8;7.2;1.6;1.6;1.3;19;13;15;26;20;20
"....Camarines Sur";24271;28651;33911;21.0;29.8;22.4;8.7;7.1;8.1;1.8;2.1;1.8;17;26;19;25;34;26
"....Catanduanes";24380;28014;31832;14.4;16.8;23.5;8.7;8.7;8.1;1.2;1.5;1.9;12;14;20;17;20;27
"....Masbate";22911;25545;28627;25.8;20.2;12.9;7.5;8.7;10.5;1.9;1.8;1.4;22;17;10;30;24;16
"....Sorsogon";26069;27133;34371;19.6;21.7;28.4;8.1;7.8;6.5;1.6;1.7;1.9;17;18;25;23;25;32
"..Region VI (Western Visayas)";25232;27339;33122;10.1;12.1;9.8;6.3;6.7;6.4;0.6;0.8;0.6;9;11;9;11;14;11
"....Aklan";23745;26837;30138;8.8;13.9;3.1;14.0;12.2;17.1;1.2;1.7;0.5;6;11;2;11;17;4
"....Antique";24023;26633;32905;12.9;18.2;13.8;10.5;9.6;12.2;1.4;1.8;1.7;10;15;11;16;22;17
"....Capiz";22669;26692;33241;4.1;6.1;9.8;15.1;17.0;13.2;0.6;1.0;1.3;3;4;7;5;8;12
"....Guimaras";25899;27090;30847;6.8;7.3;3.8;18.8;13.5;26.5;1.3;1.0;1.0;4;5;2;9;9;6
"....Iloilo";26113;27821;33440;12.1;12.6;11.1;9.3;11.0;9.4;1.1;1.4;1.0;10;10;9;14;15;13
"..Negros Island Region (NIR)";24231;26497;34044;15.8;18.2;22.6;7.5;6.2;6.6;1.2;1.1;1.5;14;16;20;18;20;26
"....Negros Occidental";23692;26782;35741;14.5;16.4;22.1;10.5;8.3;8.8;1.5;1.4;1.9;12;14;18;18;19;26
"....Negros Oriental";25113;26024;30724;19.4;23.6;25.1;9.6;9.0;8.8;1.9;2.1;2.2;16;20;21;23;28;29
"....Siquijor";25649;25603;31072;7.2;2.2;3.5;20.2;31.9;26.7;1.5;0.7;0.9;4;1;2;10;4;5
"..Region VII (Central Visayas)";25968;32423;34553;12.2;22.0;12.3;7.5;5.9;6.2;0.9;1.3;0.8;10;20;11;14;25;14
"....Bohol";26108;26853;30981;15.5;19.1;14.8;10.0;7.7;10.2;1.5;1.5;1.5;12;16;12;19;22;18
"....Cebu";25914;33657;35605;11.3;22.8;11.7;9.6;6.9;7.5;1.1;1.6;0.9;9;20;10;13;26;13
"..Region VIII (Eastern Visayas)";24987;26848;32381;23.9;22.2;20.3;3.6;4.1;4.0;0.9;0.9;0.8;22;20;19;26;24;22
"....Biliran";24216;28293;28773;13.7;19.9;8.5;9.6;8.5;10.7;1.3;1.7;0.9;11;17;7;16;23;10
"....Eastern Samar";29070;28924;32187;40.9;29.4;24.7;5.2;8.1;8.0;2.1;2.4;2.0;37;25;21;45;34;29
"....Leyte";23574;26570;33785;21.7;20.8;20.6;6.9;7.7;6.9;1.5;1.6;1.4;19;18;18;25;24;23
"....Northern Samar";25971;26572;33472;27.6;19.3;21.8;7.3;8.0;8.2;2.0;1.5;1.8;24;16;18;32;22;25
"....Southern Leyte";25756;28799;31449;17.3;16.0;7.1;8.5;8.5;12.5;1.5;1.4;0.9;14;13;5;20;19;9
"....Samar";23131;25259;29039;22.2;27.0;24.9;8.8;7.6;7.4;2.0;2.1;1.8;18;23;21;26;31;29
"..Region IX (Zamboanga Peninsula)";25650;28739;33353;25.4;23.4;24.2;4.3;4.3;4.5;1.1;1.0;1.1;23;21;22;28;25;26
"....Zamboanga del Norte";28523;33799;37169;36.9;40.8;37.7;7.3;5.8;7.1;2.7;2.4;2.7;32;36;33;42;45;43
"....Zamboanga del Sur";23977;24066;32008;17.4;13.4;20.0;7.5;8.9;6.8;1.3;1.2;1.4;15;11;17;20;16;23
"....Zamboanga Sibugay";23054;24708;26557;27.1;26.0;17.8;7.9;7.4;8.1;2.1;1.9;1.4;23;22;15;31;30;21
