"Table 12. Severity of Poverty with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"....Catanduanes 2/, 3/";0.9;1.0;1.6;0.1;0.1;0.2;0.6;0.8;1.2;1.1;1.2;2.0
"....Masbate 2/, 3/";1.5;1.4;0.6;0.2;0.2;0.1;1.1;1.0;0.4;1.8;1.8;0.8
"....Sorsogon";1.2;1.4;1.6;0.2;0.2;0.2;0.9;1.0;1.3;1.5;1.7;1.9
"..Region VI (Western Visayas) r2, 1/, 2/";0.5;0.9;0.5;0.1;0.1;0.1;0.4;0.7;0.4;0.6;1.1;0.6
"....Aklan 1/, 2/, 3/";0.4;1.0;0.1;0.1;0.2;0.0;0.2;0.7;0.0;0.5;1.3;0.1
"....Antique 1/, 2/";0.7;1.5;0.8;0.1;0.2;0.2;0.5;1.0;0.5;0.9;2.0;1.1
"....Capiz 1/, 3/";0.1;0.2;0.4;0.0;0.1;0.1;0.0;0.1;0.2;0.2;0.3;0.5
"....Guimaras 2/, 3/";0.3;0.3;0.1;0.1;0.1;0.0;0.1;0.2;0.0;0.4;0.4;0.1
"....Iloilo 2/";0.6;1.0;0.6;0.1;0.2;0.1;0.4;0.6;0.4;0.8;1.3;0.8
"..Negros Island Region (NIR) 2/, 3/";1.2;1.3;1.9;0.2;0.1;0.2;0.9;1.1;1.5;1.6;1.6;2.2
"....Negros Occidental 2/";1.0;1.0;1.7;0.2;0.1;0.2;0.6;0.7;1.2;1.5;1.2;2.1
"....Negros Oriental";1.8;2.3;2.5;0.3;0.4;0.3;1.2;1.5;1.9;2.3;3.0;3.0
"....Siquijor 1/, 3/";0.4;0.1;0.1;0.1;0.0;0.0;0.2;0.0;0.0;0.6;0.1;0.1
