"Table 2a. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision,  by Region, Province and Highly Urbanized Cities:  2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"....Nueva Ecija 1/, a/, b/, c/";25466;29751;36339;9;14;10;13;12;15;1;2;2;6;11;7;11;17;13
"....Pampanga (w/o the City of Angeles) 2/, a/, b/, c/";26585;33593;38397;3;5;2;28;19;24;1;1;1;2;3;1;5;7;3
"....City of Angeles 2/, a/, b/, c/";27086;34373;38167;2;3;1;29;25;50;1;1;0;1;2;0;3;4;1
"....Tarlac a/, c/";25386;29704;36682;11;12;10;11;10;15;1;1;2;8;10;7;13;14;13
"....Zambales (w/o the City of Olongapo) 1/, 2/, a/";29897;34181;39714;19;29;19;11;7;9;2;2;2;15;25;16;23;33;23
"....City of Olongapo 1/, 3/, a/, b/, c/";30700;35311;41565;6;12;12;17;12;13;1;1;2;4;9;9;7;14;14
"..Region IV-A (CALABARZON) 1/, 2/";27928;31059;37096;7;10;8;7;6;7;1;1;1;6;9;7;8;12;9
"....Batangas 1/, 3/, a/, b/, c/";33068;30828;35380;11;6;8;11;19;16;1;1;1;9;4;5;14;9;10
"....Cavite 1/, a/, b/, c/";29157;35843;41757;5;10;7;18;15;17;1;2;1;3;7;4;7;13;9
"....Laguna 1/, 3/, a/, b/, c/";23688;29892;38492;4;10;8;20;14;14;1;1;1;2;7;6;5;12;10
"....Quezon (w/o the City of Lucena) 1/, 2/, a/, b/, c/";22773;27082;28988;15;23;11;14;10;14;2;2;2;11;19;8;19;28;14
"....City of Lucena 1/, 2/, a/, b/, c/";23536;28324;29429;5;10;5;23;17;23;1;2;1;3;6;3;7;13;7
"....Rizal 3/, a/, b/, c/";28647;32217;39055;5;7;9;18;18;14;1;1;1;3;5;6;6;9;11
"..MIMAROPA Region 1/, 3/";23315;26321;30472;15;21;23;6;5;6;1;1;1;13;19;20;17;23;26
"....Marinduque 1/, 2/, a/, c/";24054;26959;30493;15;22;13;10;8;11;2;2;1;12;19;10;18;26;16
"....Occidental Mindoro 1/, a/, c/";21341;26661;29253;22;30;28;12;8;13;3;2;4;17;26;21;27;35;35
"....Oriental Mindoro 1/, 3/, a/, b/, c/";24470;26265;31191;11;18;21;18;14;12;2;3;2;7;13;16;15;23;25
"....Palawan (w/o the City of Puerto Princesa 2/, 3/, a/, b/, c/";23415;24002;29552;15;16;27;13;12;12;2;2;3;11;12;21;18;19;34
"....City of Puerto Princesa 1/, a/, b/, c/";23541;24987;30465;4;8;7;23;18;18;1;1;1;2;5;4;6;10;9
"....Romblon 1/, 2/";24087;28749;33379;28;40;32;8;5;7;2;2;2;24;36;28;33;44;37
"..Region V (Bicol Region)";24461;27675;33575;27;29;28;4;4;3;1;1;1;25;27;26;29;31;29
"....Albay";24902;27346;35164;21;20;25;10;10;7;2;2;2;17;16;21;25;24;28
"....Camarines Norte 1/, 3/";25051;27571;33747;31;22;25;6;8;7;2;2;2;27;19;22;34;26;28
"....Camarines Sur 1/, 2/";24271;28651;33911;28;39;29;8;6;7;2;2;2;24;34;25;33;43;34
"....Catanduanes 2/, 3/";24380;28014;31832;20;24;31;9;8;8;2;2;2;17;20;26;24;27;35
"....Masbate 2/, 3/";22911;25545;28627;33;28;19;7;8;9;2;2;2;29;23;16;37;32;23
"....Sorsogon 2/, 3/";26069;27133;34371;26;30;38;7;7;6;2;2;2;22;26;34;30;34;42
"..Region VI (Western Visayas) r2, 1/, 2/";25232;27339;33122;14;17;14;6;6;6;1;1;1;13;15;12;16;19;15
"....Aklan 1/, 2/, 3/, a/, b/, c/";23745;26837;30138;12;20;5;13;12;17;2;2;1;9;16;3;15;25;6
"....Antique a/, c/";24023;26633;32905;19;24;19;10;9;11;2;2;2;15;19;15;23;28;23
"....Capiz 3/, a/, b/, c/";22669;26692;33241;6;10;13;15;16;13;1;2;2;4;7;10;8;13;17
"....Guimaras a/, b/, c/";25899;27090;30847;10;10;7;20;14;27;2;1;2;6;7;3;13;13;10
"....Iloilo (w/o the City of Iloilo) b/";26069;27746;33374;20;21;18;10;11;9;2;2;2;16;17;15;23;25;21
"....City of Iloilo a/, b/, c/";27186;29303;34878;4;5;4;19;17;22;1;1;1;2;3;2;5;6;5
"..Negros Island Region (NIR) 2/, 3/";24231;26497;34044;21;24;29;7;6;6;2;1;2;18;21;26;24;26;32
"....Negros Occidental (w/o the City of Bacolod) 2/, 3/, a/";23676;26760;35709;23;26;33;10;8;8;2;2;3;18;22;28;27;30;38
"....City of Bacolod 2/, 3/, a/, b/, c/";24010;27266;35446;5;5;9;16;17;14;1;1;1;3;3;7;6;7;12
"....Negros Oriental";25113;26024;30724;26;29;32;10;9;9;2;3;3;21;24;27;30;34;37
"....Siquijor 1/, 3/, a/, b/, c/";25649;25603;31072;10;3;6;19;33;25;2;1;1;7;1;3;14;6;8
"..Region VII (Central Visayas) r2, 1/, 2/";25968;32423;34553;16;28;17;7;5;6;1;2;1;14;25;15;18;31;19
"....Bohol c/";26108;26853;30981;21;24;19;10;8;10;2;2;2;17;20;15;25;27;23
"....Cebu (w/o the Cities of Cebu  Lapu-Lapu and Mandaue) 1/, 2/, a/";25827;33355;35418;19;37;22;10;7;8;2;3;2;16;31;18;23;42;26
"....City of Cebu 1/, 2/, a/, b/, c/";26331;35030;36559;7;14;8;15;11;14;1;2;1;5;11;6;9;17;10
"....City of Lapu-Lapu (Opon) 1/, 2/, a/, b/, c/";26281;35030;36481;7;15;9;18;10;13;1;2;1;4;12;6;9;18;11
"....City of Mandaue 1/, 2/, a/, b/, c/";26576;35030;35655;6;15;7;17;10;18;1;2;1;4;12;5;8;18;10
"..Region VIII (Eastern Visayas) 3/";24987;26848;32381;31;29;27;3;4;4;1;1;1;29;27;25;33;31;29
"....Biliran 1/, 2/, 3/, c/";24216;28293;28773;20;27;13;9;8;10;2;2;1;16;23;11;23;31;16
"....Eastern Samar 1/, 3/";29070;28924;32187;50;38;33;5;7;7;2;3;2;45;32;29;54;43;38
"....Leyte (w/o the City of Tacloban)";23564;26482;33736;31;29;29;7;8;7;2;2;2;27;25;25;35;34;33
"....City of Tacloban 1/, 3/, a/, b/, c/";23843;27752;34450;8;16;16;15;12;13;1;2;2;6;12;12;10;19;19
"....Northern Samar 1/";25971;26572;33472;34;26;29;7;8;8;2;2;2;30;22;25;39;30;34
"....Southern Leyte 2/, 3/, c/";25756;28799;31449;24;22;12;8;8;12;2;2;1;20;18;9;28;25;15
"....Samar";23131;25259;29039;29;34;32;9;7;7;3;2;2;24;29;28;34;38;37
"..Region IX (Zamboanga Peninsula)";25650;28739;33353;33;30;32;4;4;4;1;1;1;30;28;29;35;32;34
"....Zamboanga del Norte";28523;33799;37169;45;51;48;7;5;6;3;3;3;40;46;42;51;56;53
"....Zamboanga del Sur (w/o the City of Zamboanga) 2/";23761;23935;31801;36;29;40;8;9;7;3;3;3;30;24;35;41;34;45
"....City of Zamboanga 1/, 2/, a/, b/, c/";24828;24856;32876;10;6;11;12;16;17;1;1;2;8;4;8;13;7;15
"....Zamboanga Sibugay 2/, 3/";23054;24708;26557;35;34;24;7;7;8;3;2;2;30;29;21;41;39;28
"....Isabela City 1/, 3/, b/, c/";25870;23925;29770;51;17;16;7;14;18;4;2;3;44;13;11;58;22;22
"..Region X (Northern Mindanao) 1/";24835;28836;33513;23;26;25;4;4;4;1;1;1;21;24;23;25;28;27
"....Bukidnon";25624;29040;32992;28;29;27;7;9;8;2;3;2;24;24;23;31;34;31
"....Camiguin 2/, 3/, c/";26042;28514;32275;24;21;15;10;10;14;2;2;2;20;17;11;29;25;18
"....Lanao del Norte (w/o the City of Iligan) 1/, 3/";24315;28395;32734;31;43;42;7;7;7;2;3;3;26;37;36;35;49;48
"....City of Iligan a/, b/, c/";24979;29658;33819;16;16;16;12;11;10;2;2;2;12;13;13;19;20;19
"....Misamis Occidental";24505;30062;34598;27;25;30;8;10;6;2;2;2;22;20;27;31;29;34
"....Misamis Oriental (w/o the City of Cagayan de Oro)";24018;28075;34151;21;25;23;8;8;8;2;2;2;18;21;19;24;29;26
"....City of Cagayan De Oro a/, b/, c/";24414;28870;34981;9;11;10;17;14;11;2;1;1;6;8;8;12;13;13
"..Region XI (Davao Region) 3/";25953;28102;31521;19;17;16;5;5;8;1;1;1;17;15;14;21;18;19
"....Davao del Norte a/, b/, c/";27034;27354;31286;13;11;11;12;15;16;2;2;2;10;8;8;17;14;15
"....Davao del Sur (w/o the City of Davao) c/";25620;29300;30861;18;18;14;10;9;11;2;2;2;14;15;11;21;21;17
"....City of Davao a/, b/, c/";25942;30138;31535;10;8;12;23;18;27;2;1;3;5;5;6;14;10;19
"....Davao Oriental 1/, 2/";26347;27806;33617;38;30;39;6;8;6;2;2;2;33;26;35;42;35;43
"....Davao de Oro 2/, 3/, c/";25867;26161;29573;25;24;10;8;9;14;2;2;1;21;20;7;29;28;13
